x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
326,268,53,51,814,-10.5,36.34375,1651.84375,3097.78125,-3.38159179688,-1472.0625,12999.34375,88,2741,90,2663,A
262,268,49,52,667,-4.328125,27.890625,1324.734375,1994.421875,0.563720703125,-5738.453125,10881.984375,87,2629,61,1861,A
184,261,61,58,1359,39.46875,70.421875,3196.875,3883.359375,7.4189453125,4438.59375,19249.515625,73,2117,62,1854,A
392,259,55,60,892,-12.25,42.171875,2083.3125,2539.046875,-0.060791015625,-6723.53125,13493.421875,82,2404,66,1987,A
105,257,57,63,1260,-1.671875,45.765625,3260.953125,3499.265625,-0.210693359375,-893.328125,12603.765625,81,2413,65,2008,A
348,168,49,58,1251,-13.375,26.0625,2750.03125,3570.59375,0.9296875,-5401.1875,6112.96875,81,2394,60,1819,A
267,165,61,63,589,20.4375,21.953125,1771.34375,1522.859375,3.62744140625,4915.125,6830.078125,88,2691,70,2216,A
442,164,44,60,1432,25.96875,19.609375,3277.875,4167.078125,3.5859375,4728.09375,7816.140625,78,2334,53,1652,A
185,164,64,63,751,6.65625,33.53125,1897.28125,1957.25,0.6044921875,482.71875,8324.5,88,2647,67,2069,A
106,163,60,63,948,50.765625,38.34375,3023.984375,2605.34375,10.5844726562,12464.390625,11854.59375,89,2657,74,2204,A
397,87,49,59,811,40.5625,7.546875,2328.125,2043.234375,20.5368652344,6500.3125,1430.109375,89,2662,80,2555,A
340,87,42,58,1275,-2.25,59.96875,2665.03125,3580.75,0.725830078125,-2671.03125,17458.375,75,2172,59,1870,A
175,87,64,74,721,72.09375,-2.15625,2849.375,1546.0625,21.1000976562,31140.75,-878.4375,78,2531,75,2479,A
98,86,54,60,1036,87.234375,41.96875,2822.640625,2626.59375,17.9611816406,20157.328125,12343.28125,75,2158,59,1920,A
262,84,53,62,1076,41.515625,36.390625,2745.265625,2753.546875,6.67407226562,9848.703125,11707.328125,82,2392,61,1921,A
341,15,59,53,527,22.203125,7.265625,1362.078125,1192.203125,1.90454101562,4581.921875,1080.515625,85,2613,77,2601,A
266,10,57,56,709,73.046875,34.09375,2162.203125,2095.71875,11.6359863281,22005.203125,12818.40625,88,2650,102,3540,A
109,5,54,60,1164,59.28125,-10.59375,3822.34375,3192.28125,19.5964355469,18136.625,-4650.1875,89,2697,77,2552,A
421,3,67,64,728,25.859375,43.84375,1911.890625,2027.53125,5.658203125,6782.796875,13015.375,86,2543,70,2221,A
176,0,76,72,901,40.90625,19.9375,2566.15625,2270.1875,-3.40649414062,13444.25,-2994.21875,87,2793,79,2536,A
321,268,46,51,993,9.765625,3.953125,2895.609375,3960.703125,-2.603515625,6075.484375,2882.828125,83,2651,115,3656,B
259,268,40,51,1024,16.484375,-5.40625,2316.484375,3629.75,-3.58862304688,9232.203125,-2683.84375,86,2746,95,3123,B
185,261,54,66,1742,-1.640625,-33.703125,4864.734375,5919.546875,17.5405273438,3180.609375,-14126.859375,85,2728,98,3152,B
387,259,42,60,1406,-31.828125,-6.5625,4134.140625,5013.09375,-0.916259765625,-9062.578125,-4840.59375,84,2691,98,3198,B
108,258,53,61,1751,-49.859375,2.75,6013.859375,6331.5625,-3.2568359375,-27170.703125,1412.5625,78,2492,100,3218,B
332,168,41,57,1730,-43.453125,2.0,4432.203125,6068.0,-3.59252929688,-16509.234375,1497.96875,76,2412,81,2575,B
271,165,39,61,971,-57.8125,-6.21875,2865.65625,3316.53125,-3.28784179688,-22095.8125,-485.84375,93,2948,102,3069,B
190,164,52,65,1312,2.125,-26.375,4501.78125,5113.15625,9.23388671875,242.59375,-12160.8125,100,3107,116,3796,B
109,163,58,65,1237,26.125,-25.796875,3585.75,4576.734375,1.65869140625,17773.5625,-7574.359375,106,3509,120,3942,B
418,159,37,65,1683,-25.25,12.84375,3833.4375,5931.0625,4.12768554688,-7632.59375,3547.5,85,2766,76,2451,B
341,88,42,57,1590,-34.34375,-12.734375,4102.59375,5182.015625,-1.90258789062,-10654.90625,-4055.234375,76,2406,99,3143,B
400,87,48,59,917,6.125,-10.078125,1993.34375,3327.703125,21.8754882812,-1309.28125,-2216.953125,89,2843,109,3467,B
182,87,65,59,1190,98.53125,-43.171875,3218.71875,4318.703125,4.13110351562,35986.125,-15923.015625,91,2890,117,4027,B
102,87,54,59,1278,24.015625,-16.90625,2982.765625,4245.25,29.87109375,7537.515625,-7882.25,77,2419,93,3064,B
273,81,47,66,1498,-66.25,16.625,4399.84375,5438.875,0.1064453125,-31083.90625,1371.59375,84,2721,101,3169,B
319,16,56,50,733,-10.328125,-18.15625,1690.765625,2446.21875,-11.2932128906,1327.015625,-9467.96875,82,2572,129,4168,B
253,11,53,53,908,15.5625,-2.34375,2389.28125,2996.84375,18.7868652344,4086.1875,1490.4375,89,2854,120,3922,B
109,6,54,61,1215,-12.984375,-16.65625,2924.734375,4162.1875,22.3383789062,-2837.015625,-7523.21875,82,2636,109,3535,B
402,4,55,64,1113,-12.375,-12.59375,3647.875,3927.625,3.4970703125,-9250.59375,-4444.25,95,2984,111,3684,B
170,0,61,74,1283,24.125,-50.375,3410.03125,5764.65625,-7.68432617188,17195.09375,-35371.8125,104,3512,98,3203,B
259,268,42,52,701,-51.078125,1.703125,2335.703125,2932.453125,4.61059570312,-13139.609375,-583.015625,66,2213,82,2681,C
323,267,45,53,703,-24.59375,-7.171875,2479.375,3190.671875,0.6689453125,-9680.84375,-3293.953125,70,2326,86,2744,C
187,261,51,58,1582,13.484375,16.265625,4395.953125,4786.484375,23.0676269531,6449.703125,6089.390625,87,2796,87,3026,C
386,258,50,61,907,-48.03125,10.3125,3006.4375,4195.8125,1.2392578125,-14137.90625,3372.84375,55,1727,88,2923,C
106,257,56,63,1289,-17.125,1.640625,4409.5625,4945.078125,-0.707763671875,-1692.4375,818.765625,74,2363,89,3006,C
331,168,37,58,1072,-40.796875,-41.203125,2157.890625,3924.203125,-4.13671875,-7905.671875,-21434.765625,53,1727,69,2308,C
